Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Open Ended Schemes ( Money Market )


Taurus Mutual Fund
139619;Taurus Investor Education Pool - Unclaimed Dividend - Growth;;;;;10.0000;14-Aug-2026
139618;Taurus Investor Education Pool - Unclaimed Redemption - Growth;;Growth;;;10.0000;14-Aug-2026
139617;Taurus Unclaimed Redemption - Growth;;Growth;;;17.7370;14-Aug-2026

Open Ended Schemes ( Equity Scheme - Multi Cap Fund )


Aditya Birla Sun Life Mutual Fund
148921;Aditya Birla Sun Life Multi-Cap Fund-Direct Growth;Direct Plan;GROWTH;INF209KB1Y49;;23.07;14-Aug-2026
148920;Aditya Birla Sun Life Multi-Cap Fund-Direct IDCW Payout;Direct Plan;IDCW Payout;INF209KB1Y56;;20.41;14-Aug-2026
148918;Aditya Birla Sun Life Multi-Cap Fund-Regular Growth;Regular Plan;GROWTH;INF209KB1Y23;;21.49;14-Aug-2026
148919;Aditya Birla Sun Life Multi-Cap Fund-Regular-IDCW Payout;Regular Plan;IDCW Payout;INF209KB1Y31;;19.02;14-Aug-2026

Axis Mutual Fund
149383;Axis Multicap Fund - Direct Growth;Direct Plan;Growth Option;INF846K013E0;;20.89;14-Aug-2026
149384;Axis Multicap Fund - Direct Plan - IDCW;Direct Plan;IDCW Option;INF846K014E8;INF846K015E5;19.87;14-Aug-2026
149382;Axis Multicap Fund - Regular Plan - Growth;Regular Plan;Growth Option;INF846K016E3;;19.70;14-Aug-2026
149387;Axis Multicap Fund - Regular Plan - IDCW;Regular Plan;IDCW Option;INF846K017E1;INF846K018E9;18.75;14-Aug-2026

Bajaj Finserv Mutual Fund
153309;BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH;Direct Plan;Growth;INF0QA701AV7;;12.560;14-Aug-2026
153306;BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW;Direct Plan;IDCW;INF0QA701AW5;INF0QA701AX3;12.560;14-Aug-2026
153307;BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH;Regular Plan;Growth;INF0QA701AS3;;12.283;14-Aug-2026
153308;BAJAJ FINSERV MULTI CAP FUND - REGULAR - IDCW;Regular Plan;IDCW;INF0QA701AT1;INF0QA701AU9;12.283;14-Aug-2026

Bandhan Mutual Fund
149303;BANDHAN MULTI CAP FUND - GROWTH - DIRECT PLAN;Direct Plan;Growth;INF194KB1CL0;;19.108;14-Aug-2026
149305;BANDHAN MULTI CAP FUND - GROWTH - REGULAR PLAN;Regular Plan;Growth;INF194KB1CI6;;17.790;14-Aug-2026
149304;BANDHAN MULTI CAP FUND - IDCW - DIRECT PLAN;Direct Plan;IDCW;INF194KB1CM8;INF194KB1CN6;16.836;14-Aug-2026
149302;BANDHAN MULTI CAP FUND - IDCW - REGULAR PLAN;Regular Plan;IDCW;INF194KB1CJ4;INF194KB1CK2;15.511;14-Aug-2026

Bank of India Mutual Fund
151443;Bank of India Multi Cap Fund Direct Plan - Growth;Direct Plan;Growth;INF761K01FR0;;20.84;14-Aug-2026
151444;Bank of India Multi Cap Fund Direct Plan - IDCW;Direct Plan;IDCW;INF761K01FQ2;INF761K01FS8;20.81;14-Aug-2026
